Station ID,Property/Business Name,Street Address,Hours of Operation,Charger Fee(per Hour),Latitude,Longitude,Location,Latitude.1,Longitude.1
861,Dunes at Maui Lani Golf Course,1333 Mauilani Pkwy,06:00-21:00,$0,20.86693,-156.4743,"(20.86693, -156.4743)",,
859,Dunes at Maui Lani Golf Course,1333 Mauilani Pkwy,06:00-21:00,$0,20.86693,-156.4743,"(20.86693, -156.4743)",,
787,Lahaina Aquatic Center,245 Shaw Street,08:00-20:00,$0,20.86956,-156.67145,"(20.86956, -156.67145)",,
785,Lahaina Aquatic Center,245 Shaw Street,00:00-23:59,$0,20.86956,-156.67145,"(20.86956, -156.67145)",,
645,Foodland Kehalani,370 Kehalani Drive,00:00-23:59,$2,20.87228,-156.50135,"(20.87228, -156.50135)",,
765,Target Corp Maui - Kahului,100 Ho'okele St,00:00-23:59,$0,20.87526,-156.45665,"(20.87526, -156.45665)",,
331,Walmart,101 Pakaula Street,00:00-23:59,$2,20.8779003,-156.4558094,"(20.8779003, -156.4558094)",,
693,Maui Marketplace,270 Dairy Road,00:00-23:59,$10,20.88157,-156.45471,"(20.88157, -156.45471)",,
665,Safeway-Wailuku,58 Maui Lani Parkway #5000,00:00-23:59,$0,20.88254,-156.49193,"(20.88254, -156.49193)",,
769,Akaku Center,333 Dairy Rd,10:00-18:00,$0.50,20.8835,-156.45469,"(20.8835, -156.45469)",,
687,Maui Electric Company Ltd.,210 W Kamehameha Avenue,00:00-23:59,$3.50,20.88463,-156.47213,"(20.88463, -156.47213)",,
323,Maui Memorial Medical Center,221 Mahalani Street,00:00-23:59,$15,20.884847,-156.489451,"(20.884847, -156.489451)",,
899,"Maui County Building, Wailuku",200 South High Street,00:00-23:59,$0,20.88532,-156.504045,"(20.88532, -156.504045)",,
571,"Maui County Building, Wailuku",200 South High Street,00:00-23:59,$0,20.88532,-156.504045,"(20.88532, -156.504045)",,
699,"County Building, Wailuku",200 South High Street,00:00-23:59,$5,20.88543,-156.50404,"(20.88543, -156.50404)",,
799,Walter Cameron Center Station,95 Mahalani St.,00:00-23:59,$0,20.887,-156.48835,"(20.887, -156.48835)",,
641,BMW of Maui,410 Koloa Street,00:00-23:59,$0,20.88712,-156.4543,"(20.88712, -156.4543)",,
725,Costco Maui,540 Haleakala Hwy,00:00-23:59,$2.25,20.88714,-156.45077,"(20.88714, -156.45077)",,
613,Queen Ka`ahumanu Center,275 West Kaahumanu Ave,00:00-23:59,$0,20.88777,-156.4756,"(20.88777, -156.4756)",,
309,Jim Falk  Motors of Maui,260 Hana Hwy,07:30-20:00,$0,20.888418,-156.458423,"(20.888418, -156.458423)",,
319,Maui Beach Hotel,170 Kaahumanu Avenue,00:00-23:59,$0,20.890185,-156.471059,"(20.890185, -156.471059)",,
677,Whole Foods- Maui Mall,70 Kaahumanu Ave #B,00:00-23:59,$0,20.89105,-156.46519,"(20.89105, -156.46519)",,
303,Enterprise Rent A Car,40 Hana Hwy,07:00-17:00,$0,20.8917119,-156.462988,"(20.8917119, -156.462988)",,
627,University of Hawaiâ€˜i Maui College,Wahinepio Ave,07:00-21:00,$0,20.89238,-156.48077,"(20.89238, -156.48077)",,
297,Bio-Beetle ECO Rental Cars,55 Amala Place,00:00-23:59,$0,20.8949605,-156.4605913,"(20.8949605, -156.4605913)",,
601,Alamo/National Kahului Airport,905 E Mokuea Place,00:00-23:59,$2,20.89664,-156.44294,"(20.89664, -156.44294)",,
307,Hyatt Regency Maui,200 Nohea Kai Drive,00:00-23:59,$3,20.91267,-156.692201,"(20.91267, -156.692201)",,
315,Marriott Maui Ocean Club,100 Nohea Kai Drive,00:00-23:59,$0,20.915844,-156.695292,"(20.915844, -156.695292)",,
633,Whaler's Village,2435 Kaanapali Pkwy,08:00-22:00,$3,20.92083,-156.6942,"(20.92083, -156.6942)",,
623,Ka`anapali Beach Hotel,2525 Kaanapali Pkwy,00:00-23:59,$0,20.92415,-156.69405,"(20.92415, -156.69405)",,
327,Sheraton Maui,2605 Kaâ€™anapali Parkway,00:00-23:59,$2,20.926822,-156.695125,"(20.926822, -156.695125)",,
891,Haiku Community Center,Hana Highway at Pilialoha St,00:00-23:59,$0,20.9299,-156.32005,"(20.9299, -156.32005)",,
893,Haiku Community Center,Hana Highway at Pilialoha St,00:00-23:59,$0,20.9299,-156.32005,"(20.9299, -156.32005)",,
763,Kahekili Beach Park,65 Kai Ala Dr,09:00-20:00,$2.25,20.9365,-156.69214,"(20.9365, -156.69214)",,
761,Kahekili Beach Park,65 Kai Ala Dr,09:00-20:00,$2.25,20.9365,-156.69214,"(20.9365, -156.69214)",,
855,Westin Kaâ€™anapali Ocean Resort (KOR) Villas Parking Garage,6 Kai Ala Drive,09:00-20:00,$1,20.93736,-156.69127,"(20.93736, -156.69127)",,
857,Westin Kaâ€™anapali Ocean Resort (KOR) Villas Parking Garage,6 Kai Ala Drive,09:00-20:00,$1,20.93736,-156.69127,"(20.93736, -156.69127)",,
603,Alamo/National - Kaanapali,30 C Halawai Drive,00:00-23:59,$2,20.94181,-156.689,"(20.94181, -156.689)",,
295,5A Rent A Space Business Services Center,3600 Lower Honoapiilani Road,00:00-23:59,$2,20.952676,-156.685993,"(20.952676, -156.685993)",,
